bf,HR,BV,UB
,5078,1.11,1.11
,5071,0.07,0.07
,5080,1.6,0.68
,5087,0.96,0.59
,5086,1.47,1.8
72 Vir,5088,0.33,0.07
,5089,1.17,1.03
,5096,1.05,
,5090,0.1,
74 Vir,5095,1.62,1.95
73 Vir,5094,0.18,0.16
,5092,1.04,
,5098,0.44,0
,5097,0.04,
,5102,0.96,0.7
75 Vir,5099,1.23,1.22
76 Vir,5100,0.96,0.6
,5101,1.28,0.91
,5082,0.48,-0.06
,5093,-0.02,-0.08
81 UMa,5109,-0.03,-0.09
78 Vir,5105,0.03,0
,5108,0.21,0.11
24 CVn,5112,0.12,0.11
,5103,-0.05,
,5106,0.02,-0.09
79 Zeta Vir,5107,0.11,0.1
,5131,,
,5104,1.26,
,5110,0.4,0.06
,5116,0.2,0.25
80 Vir,5111,0.95,0.66
,5114,1.03,0.9
,5126,,
,5120,0.22,0.19
,5117,1.03,0.85
,5123,1.55,1.85
,5118,0.94,
,5139,1.2,
,5113,0.5,
,5121,-0.12,
25 CVn,5127,0.23,0.09
,5133,1.55,1.66
,5122,1.12,0.93
,5129,0.25,0.11
,5128,0.4,
,5119,1.42,1.73
,5124,1.14,
,5137,1.2,1.27
,5115,0.01,-0.26
82 UMa,5142,0.1,0.04
,5138,0.33,0.05
,5135,1.66,1.78
,5136,1.3,
Epsilon Cen,5132,-0.22,-0.92
,5134,1.5,1.15
,5125,1.3,1.09
,5130,0.39,0.02
,5143,0.96,
,5153,0.1,0.02
,5148,0.54,-0.03
,5145,1.28,1.5
1 Boo,5144,0.01,0
83 UMa,5154,1.64,1.96
Kappa Oct,5084,0.18,0.16
2 Boo,5149,1.01,
,5162,0.07,0.08
,5146,0.06,0.05
82 Vir,5150,1.63,1.95
,5141,-0.05,-0.23
,5147,1.44,1.1
,5140,-0.03,-0.23
,5156,0.42,-0.04
,5203,1.01,
,5160,0.86,
,5184,1.01,
,5161,0.85,
,5152,1.67,
,5155,1.02,
,5151,-0.08,
84 Vir,5159,1.11,1.04
,5157,-0.08,
,5164,1.42,1.7
,5163,0.05,0.01
,5169,0,-0.01
,5158,-0.13,
83 Vir,5165,0.81,0.41
,5166,1.38,
,5177,0.47,-0.06
85 Vir,5170,0.05,
,5167,0.02,
1 Cen,5168,0.38,0
86 Vir,5173,0.9,
,5179,0.21,0.06
,5180,0.94,
84 UMa,5187,-0.08,-0.08
,5172,0.96,0.72
3 Boo,5182,0.49,0.1
,5174,-0.02,
,5183,0.63,0.16
,5186,1.03,0.84
,5171,1.98,1.19
,5178,1.42,1.66
4 Tau Boo,5185,0.48,0.04
87 Vir,5181,1.62,1.94
,5175,0.29,
85 Eta UMa,5191,-0.19,-0.67
,5176,1.36,1.36
,5195,1.01,
,5189,0.57,0.05
,5199,,
2 Cen,5192,1.5,1.45
5 Upsilon Boo,5200,1.52,1.87
Nu Cen,5190,-0.22,-0.84
Mu Cen,5193,-0.17,-0.72
6 Boo,5201,1.43,1.65
,5204,,
,5213,0.96,0.64
89 Vir,5196,1.06,0.92
,5197,-0.03,-0.12
,5198,0.99,
,5205,0.9,0.59
,5216,0.09,0.08
,5202,0.51,
,5227,1.17,
,5214,0.12,0.07
,5215,1.62,1.96
,5209,0.69,0.27
10 Dra,5226,1.58,1.89
,5208,0.48,0.01
,5206,-0.16,-0.75
,5194,1.73,2.02
,5219,1.66,1.96
3 Cen,5210,-0.13,-0.6
3 Cen,5211,-0.04,-0.15
,5212,0.48,
,5207,-0.09,-0.32
,5220,0.04,0.01
,5229,0.2,0.14
4 Cen,5221,-0.14,-0.54
7 Boo,5225,0.84,
,5222,0.44,-0.01
,5217,0.01,-0.41
86 UMa,5238,-0.05,-0.07
,5224,1.02,0.86
,5223,-0.07,-0.92
,5228,1.13,
8 Eta Boo,5235,0.58,0.2
90 Vir,5232,1.08,1.08
,5218,1.49,1.67
,5233,0.53,0.01
,5230,-0.08,-0.3
Zeta Cen,5231,-0.22,-0.92
,5188,1.46,1.57
,5237,0.9,
,5243,0.5,-0.08
,5245,0.37,0.06
,5239,1.14,1.11
,5234,0.07,0.03
92 Vir,5244,0.2,0.14
,5236,0.78,
9 Boo,5247,1.42,1.72
,5246,1.43,
,5256,,
,5241,1.11,1.04
Phi Cen,5248,-0.21,-0.83
47 Hya,5250,-0.1,-0.4
,5242,1.05,0.81
10 Boo,5255,-0.03,0.02
,5254,1.44,1.71
Upsilon1 Cen,5249,-0.2,-0.8
,5251,0.96,
,5258,0.49,0.06
48 Hya,5257,0.48,
,5252,0.33,-0.04
,5240,0.03,-0.17
,5253,0.35,0.07
11 Boo,5263,0.17,
,5259,1.25,1.29
,5262,0.09,0.1
93 Tau Vir,5264,0.1,0.12
Upsilon2 Cen,5260,0.6,0.27
,5282,1.4,
,5271,1.32,1.45
,5265,1.34,1.44
,5270,0.9,0.38
,5280,0.01,
,5268,0.48,
,5266,1.22,1.18
,5269,-0.11,-0.39
,5273,0.74,0.29
,5274,0.94,0.7
Beta Cen,5267,-0.23,-0.98
,5272,0.45,
,5275,0.39,-0.02
,5276,1.32,1.58
11 Alpha Dra,5291,-0.05,-0.08
,5277,1.08,0.95
,5283,1.02,0.87
,5284,0.1,
Theta Aps,5261,1.55,1.05
,5278,0.23,
Chi Cen,5285,-0.19,-0.77
,5286,0.98,
49 Pi Hya,5287,1.12,1.04
,5281,0.12,-0.8
5 Theta Cen,5288,1.01,0.87
95 Vir,5290,0.34,0.08
3 UMi,5305,0.14,0.12
,5299,1.59,1.66
,5289,1.02,
13 Boo,5300,1.65,1.92
,5279,0.58,0.06
,5302,1.02,0.82
4 UMi,5321,1.36,1.39
,5294,-0.06,
,5292,0.05,-0.51
96 Vir,5298,1,0.73
,5296,-0.06,-0.27
,5297,0.94,0.72
12 Boo,5304,0.54,0.07
,5293,1.74,1.84
,5301,1.72,2.13
,5295,0.18,0.15
,5310,1.26,1.43
,5307,0.48,0.04
,5334,1.58,1.84
,5313,-0.12,-0.42
,5309,1.35,
50 Hya,5312,1.16,1.13
98 Kappa Vir,5315,1.33,1.47
,5314,1.08,
,5308,1.44,
17 Kappa1 Boo,5328,0.39,-0.04
17 Kappa2 Boo,5329,0.2,0.14
,5311,0.05,-0.38
,5317,0.47,0.03
14 Boo,5323,0.54,0.09
,5322,0.6,0.16
,5335,1.04,
,5333,0.18,0.09
,5318,0.93,0.58
15 Boo,5330,1,0.77
,5331,1.6,1.72
,5316,-0.08,-0.63
,5324,,
,5345,0.1,0.09
,5319,1.57,
,5332,-0.03,-0.08
,5325,0.6,
16 Alpha Boo,5340,1.23,1.27
99 Iota Vir,5338,0.52,0.04
,5343,0.26,0.05
21 Iota Boo,5350,0.2,0.06
,5337,0.3,
,5341,0.28,0.09
19 Lambda Boo,5351,0.08,0.05
,5347,0.36,-0.07
,5342,-0.01,-0.01
,5346,0.49,
,5326,2.04,1.24
,5320,-0.06,-0.87
,5306,1.42,1.42
,5344,0.98,
,5360,0.04,
,5352,1.71,2.07
,5363,0.44,
,5361,1.06,0.92
,5353,0.73,0.35
Eta Aps,5303,0.25,0.11
,5348,0.27,
,5355,0,-0.04
,5369,1.06,0.89
,5372,,
,5356,0.5,-0.09
100 Lambda Vir,5359,0.13,0.12
18 Boo,5365,0.38,-0.03
,5357,0.08,0.04
Iota Lup,5354,-0.18,-0.72
102 Upsilon Vir,5366,1.02,0.85
,5368,0.2,0.09
20 Boo,5370,1.23,1.4
,5373,0.05,0.05
,5349,0.29,0.16
,5374,0.15,0.1
,5362,0.92,0.6
,5358,0.12,-0.43
Psi Cen,5367,-0.03,-0.11
,5364,0.31,0.06
,5376,-0.09,
Epsilon Aps,5336,-0.1,-0.57
,5371,0.86,0.48
,5375,-0.13,-0.91
,5378,-0.18,-0.75
51 Hya,5381,1.31,1.54
,5387,0.37,-0.02
,5384,0.63,0.09
,5377,1.36,
,5385,0.43,-0.01
,5386,-0.02,-0.07
2 Lib,5383,0.99,
,5380,1.1,
,5388,0.06,0.08
,5392,0.12,0.1
,5394,1.2,1.29
,5327,0.02,-0.33
,5393,0.42,0.04
,5390,0.96,0.71
,5379,0.49,0.01
23 Theta Boo,5404,0.5,0.01
,5402,1.23,1.26
,5397,0.14,0.11
,5382,0.13,0.06
,5399,0.94,
Tau1 Lup,5395,-0.15,-0.79
Tau2 Lup,5396,0.43,0.19
,5398,1.19,
22 Boo,5405,0.23,0.23
,5400,-0.08,
Delta Oct,5339,1.31,1.45
,5391,1.5,1.76
,5401,0.31,0.16
104 Vir,5406,0.09,0.11
,5411,0.37,-0.05
5 UMi,5430,1.44,1.7
52 Hya,5407,-0.07,-0.41
105 Phi Vir,5409,0.7,0.21
,5416,,
,5414,-0.01,0
,5415,-0.03,-0.03
24 Boo,5420,0.85,0.44
106 Vir,5410,1.49,1.76
,5403,0.14,0.13
,5389,1.18,1.11
,5423,0.7,0.21
,5422,-0.03,-0.09
,5418,0.16,0.11
,5412,-0.08,-0.27
,5413,0.05,
,5424,1.42,1.67
,5436,0.41,-0.04
,5417,1.44,
,5419,1.06,
,5408,1,0.78
,5437,0.24,0.14
25 Rho Boo,5429,1.3,1.44
27 Gamma Boo,5435,0.19,0.12
,5433,0.22,0.07
,5442,1.5,
26 Boo,5434,0.35,0.07
,5421,0.91,0.6
Sigma Lup,5425,-0.19,-0.84
,5428,1.03,0.84
,5441,,
,5427,1.09,
,5426,0.48,
,5479,1.3,1.46
,5431,0.06,
,5445,0.4,-0.03
,5451,0.49,-0.03
,5448,1.38,
,5452,1.56,1.88
28 Sigma Boo,5447,0.36,-0.08
,5438,0.14,
,5432,1.26,
Eta Cen,5440,-0.19,-0.83
,5439,-0.08,
,5454,1.06,0.9
,5444,1.48,1.72
,5446,1.05,
,5449,-0.12,
,5455,0.46,-0.03
,5450,1.01,0.73
,5443,0.5,-0.02
Rho Lup,5453,-0.15,-0.56
,5464,1.48,1.68
,5462,1.1,0.99
,5467,-0.01,0
,5456,1.43,
33 Boo,5468,0,-0.04
,5457,0.51,0.03
,5458,0.44,0.01
Alpha1 Cen,5459,0.71,0.24
Alpha2 Cen,5460,0.88,0.68
,5472,0.4,0.02
,5461,1.18,
,5473,0.21,0.04
29 Pi1 Boo,5475,-0.03,-0.31
29 Pi2 Boo,5476,0.24,0.1
,5466,-0.08,-0.38
30 Zeta Boo,5478,0.05,0.05
30 Zeta Boo,5477,,
31 Boo,5480,1,0.76
32 Boo,5481,0.94,0.67
,5474,-0.09,
,5483,,
,5465,0.45,
Alpha Lup,5469,-0.2,-0.89
,5471,-0.17,-0.7
,5492,0.41,-0.01
Alpha Cir,5463,0.24,0.12
107 Mu Vir,5487,0.38,-0.02
4 Lib,5484,-0.01,-0.08
34 Boo,5490,1.66,1.94
,5485,1.35,1.53
,5493,1.39,
,5486,1.02,
36 Epsilon Boo,5506,0.97,0.73
,5489,0.01,-0.03
36 Epsilon Boo,5505,,
,5488,-0.06,-0.8
,5496,1.61,1.94
,5510,1.58,1.9
35 Omicron Boo,5502,0.98,0.75
,5482,0.29,
,5507,0.83,
108 Vir,5501,-0.03,-0.07
5 Lib,5503,1.19,
54 Hya,5497,0.35,0.1
,5512,1.57,1.31
,5499,0.98,
,5504,0.58,0.15
109 Vir,5511,-0.01,-0.03
,5494,0.07,0.08
,5495,0.98,
,5508,1.33,
,5498,0.09,
,5513,1.65,1.98
55 Hya,5514,,
,5509,1.08,0.88
56 Hya,5516,0.94,0.65
Alpha Aps,5470,1.43,1.68
,5518,1.1,0.95
57 Hya,5517,-0.02,-0.09
,5524,0.48,0.08
,5519,1.54,1.28
,5500,-0.07,-0.7
,5522,-0.04,-0.1
,5529,0.36,-0.07
,5515,1.13,1.06
,5521,1.3,
38 Boo,5533,0.48,0
7 Mu Lib,5523,0.07,-0.05
,5537,0.4,0
39 Boo,5538,0.47,
,5532,0.05,0.08
,5534,0.56,0.02
58 Hya,5526,1.4,1.49
,5596,0.68,0.17
,5541,1.02,0.84
8 Alpha1 Lib,5530,0.41,-0.03
7 Beta UMi,5563,1.47,1.78
9 Alpha2 Lib,5531,0.15,0.09
,5536,1.4,1.69
11 Lib,5535,0.98,0.72
37 Xi Boo,5544,0.76,0.28
,5552,1.36,1.6
Omicron Lup,5528,-0.15,-0.61
,5542,0.6,0.13
,5527,0.72,0.22
,5543,-0.16,-0.72
,5520,0.82,0.42
,5550,0.57,0.12
,5553,0.83,0.5
12 Lib,5548,1.32,1.54
13 Xi1Lib,5554,0.97,0.72
,5549,1.42,
Zeta Cir,5539,-0.06,-0.6
,5546,1.16,1.15
,5558,0.04,
,5569,0.1,0.07
,5567,-0.06,-0.08
,5556,0.13,
,5581,0.5,0
,5562,1.41,
,5559,-0.04,-0.27
,5561,0.06,
Theta Cir,5551,0,-0.77
15 Xi2Lib,5564,1.49,1.7
,5560,1.7,2.04
,5574,-0.01,0.01
16 Lib,5570,0.32,0.05
,5575,0.94,
,5565,-0.04,-0.21
,5568,1.11,1.06
,5573,1.13,1.11
,5589,1.59,1.59
,5540,1.45,1.7
,5566,0.71,0.28
17 Lib,5578,0.01,
Beta Lup,5571,-0.22,-0.87
,5572,1.23,1.24
59 Hya,5577,0.24,0.14
,5583,0.5,0.05
18 Lib,5582,1.26,1.44
Kappa Cen,5576,-0.2,-0.79
,5579,-0.08,
,5584,1.6,1.9
,5580,0.6,0.3
40 Boo,5588,0.31,0.03
,5555,-0.04,-0.2
,5547,1.05,0.81
,5597,-0.14,-0.27
,5592,,
19 Delta Lib,5586,0,-0.1
,5585,1.24,
,5590,1.68,2.02
,5608,0.09,0.1
,5594,1.52,1.56
Pi1 Oct,5525,0.95,0.75
42 Beta Boo,5602,0.97,0.72
,5587,0.24,0.13
60 Hya,5591,0.16,0.16
41 Omega Boo,5600,1.5,1.83
,5599,0.2,0.19
110 Vir,5601,1.04,0.88
,5595,-0.12,-0.61
,5609,1.02,
,5612,0.46,0.04
,5613,1.02,
44 Boo,5618,0.65,0.11
,5629,,
20 Sigma Lib,5603,1.7,1.94
,5610,0.31,0.02
43 Psi Boo,5616,1.24,1.33
,5604,1.46,
Pi2 Oct,5545,1.3,1.15
Eta Cir,5593,0.93,
Pi Lup,5605,-0.14,-0.59
Pi Lup,5606,,
,5607,1.01,
47 Boo,5627,0,-0.07
,5614,-0.01,-0.38
,5615,1.65,
,5635,0.96,0.64
,5620,1.05,
,5619,-0.08,
,5630,0.52,0.03
21 Nu Lib,5622,1.58,1.92
,5598,1.59,1.86
45 Boo,5634,0.43,-0.02
,5633,0.06,0.06
,5617,0.92,
,5631,0.94,0.71
,5611,1.47,1.7
,5624,-0.14,-0.4
,5648,1.03,
46 Boo,5638,1.24,1.26
,5640,1.24,
,5625,-0.11,-0.45
Lambda Lup,5626,-0.18,-0.68
,5639,0.96,0.62
,5623,0.06,
,5621,0.69,0.39
,5636,,
,5641,1.05,
,5672,,
,5632,0.63,0.16
Omega Oct,5557,-0.06,-0.13
,5637,1.14,0.73
,5643,1.08,0.95
,5642,1.04,0.85
Kappa1 Lup,5646,-0.05,-0.13
Kappa2 Lup,5647,0.14,0.09
,5654,1.53,
24 Iota1 Lib,5652,-0.08,-0.35
Zeta Lup,5649,0.92,0.66
,5650,1.12,
,5628,0,-0.24
,5659,0.68,0.25
,5651,-0.17,-0.68
,5645,1.9,
,5653,-0.08,
,5655,-0.04,-0.41
25 Iota2 Lib,5656,0.12,
23 Lib,5657,0.7,
,5665,0.06,0.06
,5673,1.2,
,5658,1.14,
,5674,1.52,
,5677,1.66,1.93
,5644,3.38,6.69
48 Chi Boo,5676,0.03,0.08
26 Lib,5662,-0.05,-0.26
1 Lup,5660,0.37,0.28
,5691,0.53,0.08
,5669,1.47,1.81
,5693,,
3 Ser,5675,1.09,0.91
49 Delta Boo,5681,0.95,0.66
4 Ser,5679,0.18,0.09
,5663,0.21,0.11
,5667,0.58,0.1
,5668,-0.14,-0.63
,5678,1.38,1.48
,5661,-0.08,-0.89
Delta Cir,5664,-0.06,-0.92
27 Beta Lib,5685,-0.11,-0.36
11 UMi,5714,1.37,1.6
Beta Cir,5670,0.09,0.09
Epsilon Cir,5666,1.25,1.32
2 Lup,5686,1.1,1.07
,5682,0.18,0.14
,5692,0.97,
,5690,1.51,1.82
Mu Lup,5683,-0.08,-0.37
,5688,1.23,
,5680,-0.1,-0.9
Gamma TrA,5671,0,-0.02
,5687,-0.1,-0.46
5 Ser,5694,0.54,0.06
,5702,0.24,0.09
,5689,0.96,0.64
,5715,0.11,0.11
1 Omicron CrB,5709,1.02,0.77
,5684,-0.09,-0.61
,5716,0.39,0.04
13 Gamma UMi,5735,0.05,0.12
,5706,1.06,1.07
28 Lib,5701,1.02,0.73
29 Omicron Lib,5703,0.41,0.05
6 Ser,5710,1.19,1.22
,5711,1.23,
,5707,1.04,1
Delta Lup,5695,-0.22,-0.89
,5697,-0.06,-0.3
,5696,0.07,
Nu2 Lup,5699,0.65,0.05
Phi1 Lup,5705,1.54,1.88
50 Boo,5718,-0.07,-0.21
Nu1 Lup,5698,0.5,0.04
7 Ser,5717,-0.02,-0.03
,5731,-0.03,-0.1
,5726,1.59,
,5737,1.27,
Epsilon Lup,5708,-0.18,-0.75
Phi2 Lup,5712,-0.15,-0.63
,5700,0.48,0
2 Eta CrB,5727,0.58,0.04
2 Eta CrB,5728,,
Gamma Cir,5704,0.19,-0.35
8 Ser,5721,0.25,0.07
,5720,1.04,
,5732,1.2,1.23
31 Epsilon Lib,5723,0.44,0.02
51 Mu1 Boo,5733,0.31,0.07
51 Mu2 Boo,5734,0.59,0.13
Upsilon Lup,5719,-0.11,
12 Iota Dra,5744,1.16,1.22
,5722,0.09,
,5724,0,-0.06
9 Tau1 Ser,5739,1.66,1.95
,5740,0.6,0.2
,5713,1.02,0.77
,5741,1.4,1.64
,5748,0.05,
,5736,-0.15,-0.59
,5725,1.64,1.98
,5745,1.62,
,5754,0.14,0.04
3 Beta CrB,5747,0.28,0.11
,5755,1.44,1.64
32 Zeta1 Lib,5743,1.55,1.84
,5491,0.3,0.1
,5738,1.09,0.76
10 Ser,5746,0.23,0.1
,5752,0.1,0.12
,5759,0.08,0.09
,5829,0.67,0.13
,5768,,
,5742,1.74,
,5760,0.19,0.14
,5761,,
,5749,0.17,0.08
34 Zeta3 Lib,5750,1.06,
,5758,0.37,-0.03
,5785,0.96,
52 Nu1 Boo,5763,1.59,1.9
,5769,0.5,
15 Theta UMi,5826,1.58,1.89
Kappa1 Aps,5730,-0.12,-0.77
,5756,0.22,0.14
53 Nu2 Boo,5774,0.07,0.11
,5753,0.09,
,5751,0.2,
12 Tau2 Ser,5770,-0.05,-0.23
,5762,0.18,0.2
35 Zeta4 Lib,5764,-0.14,-0.75
4 Theta CrB,5778,-0.13,-0.54
11 Ser,5772,1.09,1.02
,5765,0.27,0.04
,5783,,
,5767,1.68,1.93
37 Lib,5777,1.01,0.86
,5779,0.58,0.04
,5773,-0.03,-0.11
,5780,-0.09,-0.45
36 Lib,5775,1.3,1.16
5 Alpha CrB,5793,-0.02,-0.02
13 Delta Ser,5789,0.26,0.12
13 Delta Ser,5788,0.26,0.13
,5791,0.28,0.05
Gamma Lup,5776,-0.2,-0.82
6 Mu CrB,5800,1.64,2.01
,5811,1.18,
38 Gamma Lib,5787,1.01,0.74
15 Tau3 Ser,5795,0.94,
,5808,,
,5781,-0.18,-0.69
,5796,1.09,
,5818,,
,5817,0.32,0.04
,5790,,
,5784,1.5,1.82
,5766,0.35,0.03
18 Tau5 Ser,5804,0.29,0.04
16 Ser,5802,0.95,0.67
14 Ser,5799,0.72,0.45
Epsilon TrA,5771,1.17,1.16
,5813,,
39 Upsilon Lib,5794,1.38,1.58
,5801,0.01,-0.42
,5828,1.07,
,5844,1.35,1.58
,5806,1.1,0.89
54 Phi Boo,5823,0.88,0.53
Omega Lup,5797,1.42,1.72
,5809,1.17,
,5830,0.36,-0.02
,5810,1.08,
,5805,-0.07,-0.19
,5835,0.83,
40 Tau Lib,5812,-0.17,-0.7
,5815,0.53,-0.02
,5816,0.52,-0.02
,5807,0.21,
,5827,1.02,
,5798,0,0
41 Lib,5814,0.86,0.54
,5841,1.09,1.04
,5757,1.2,1.36
,5819,0.02,
7 Zeta1 CrB,5833,,
7 Zeta2 CrB,5834,-0.12,-0.47
3 Psi1Lup,5820,0.99,0.73
,5803,0.48,
,5831,0.94,0.71
,5792,0.08,0.08
,5822,1.43,1.65
42 Lib,5824,1.33,1.51
Kappa2 Aps,5782,-0.04,-0.38
,5821,1.63,1.98
19 Tau6 Ser,5840,0.9,0.61
,5825,0.4,-0.03
21 Iota Ser,5842,0.04,0.03
20 Chi Ser,5843,0.04,0.05
,5786,-0.04,-0.16
22 Tau7 Ser,5845,0.2,0.11
43 Kappa Lib,5838,1.57,1.95
,5832,1.31,
,5837,0.98,
4 Psi2Lup,5839,-0.14,-0.52
8 Gamma CrB,5849,0,-0.04
,5857,-0.07,-0.1
,5850,0.86,0.52
Rho Oct,5729,0.11,0.08
,5847,1.16,0.96
,5836,1.05,
9 PicrB,5855,1.06,
23 Psi Ser,5853,0.68,0.25
16 Zeta UMi,5903,0.04,0.05
44 Eta Lib,5848,0.23,0.07
24 Alpha Ser,5854,1.17,1.24
,5846,0,-0.2
26 Tau8 Ser,5858,0,-0.03
,5859,0.04,0.03
,5861,1.19,1.2
25 Ser,5863,-0.03,-0.4
28 Beta Ser,5867,0.06,0.08
,5856,0.32,
27 Lambda Ser,5868,0.6,0.11
,5878,1.39,
,5886,0.04,0.1
,5860,-0.11,-0.42
,5866,1.17,1.09
31 Upsilon Ser,5870,0.09,0.06
,5862,0.88,
,5864,0.72,0.31
,5887,0.25,0.16
,5851,0.22,0.1
,5852,0.24,0.1
,5877,,
,5874,1.25,1.5
,5880,0.77,0.29
35 Kappa Ser,5879,1.62,1.95
,5865,1.38,1.45
,5875,0.12,0.11
10 Delta CrB,5889,0.8,0.37
32 Mu Ser,5881,-0.04,-0.1
,5871,0.07,0.06
,5869,-0.08,-0.23
,5872,0.29,0.03
34 Omega Ser,5888,1.02,0.82
,5894,,
37 Epsilon Ser,5892,0.15,0.11
5 Chi Lup,5883,-0.04,-0.13
1 Sco,5885,-0.05,-0.73
,5873,0.06,-0.7
11 Kappa CrB,5901,1,0.87
36 Ser,5895,0.12,0.07
38 Rho Ser,5899,1.54,1.88
,5882,1.16,1.12
,5896,1,
,5893,0.98,0.85
,5922,0.96,
1 Chi Her,5914,0.56,0
,5890,1.53,
,5909,,
,5876,0.19,0.12
39 Ser,5911,0.6,0
45 Lambda Lib,5902,-0.01,-0.56
,5884,1.47,
,5913,,
2 Sco,5904,-0.07,-0.65
46 Theta Lib,5908,1.02,0.81
,5906,-0.02,-0.4
,5907,-0.04,-0.61
,5910,-0.07,-0.44
,5924,1.59,1.94
2 Her,5932,1.65,1.97
3 Sco,5912,-0.06,-0.58
40 Ser,5919,0.18,0.09
,5898,0.1,
47 Lib,5915,-0.01,-0.53
Beta TrA,5897,0.29,0.05
Kappa TrA,5891,1.13,0.94
4 Sco,5917,0.15,0.19
,5916,1.37,
4 Her,5938,-0.11,-0.41
,5900,0.35,0.14
,5931,-0.11,-0.43
12 Lambda CrB,5936,0.33,0.03
,5949,-0.02,-0.18
,5905,0.06,0.07
,5918,0.15,
,5923,0.43,
,5927,0.48,0.08
41 Gamma Ser,5933,0.48,-0.03
,5930,0.23,-0.03
5 Rho Sco,5928,-0.2,-0.82
Xi1 Lup,5925,0.12,0.08
Xi2 Lup,5926,0.05,0.06
,5921,0.38,-0.03
Phi Ser,5940,1.14,1.16
,5929,1.01,
,5950,1.07,
13 Epsilon CrB,5947,1.23,1.28
,5934,0.02,-0.43
,5960,0.26,0.05
48 Lib,5941,-0.1,-0.2
,5935,1.01,
,5942,-0.09,-0.64
6 Pi Sco,5944,-0.19,-0.91
,5957,1.49,
,5920,-0.06,-0.4
,5964,0.29,0.03
,5958,0.1,
,5943,1,
,5937,0,-0.48
,5945,1.52,
Eta Lup,5948,-0.22,-0.83
49 Lib,5954,0.52,0.03
7 Delta Sco,5953,-0.12,-0.91
50 Lib,5959,0.05,-0.05
,5963,1,0.79
,5952,0.01,-0.01
15 Rho CrB,5968,0.6,0.08
,5946,0.25,
,5939,0.78,0.54
5 Her,5966,0.99,0.74
,5956,1.45,
14 Iota CrB,5971,-0.07,-0.19
13 Theta Dra,5986,0.52,0.1
,5981,1.48,
44 Pi Ser,5972,0.07,0.06
,5965,1.31,
6 Upsilon Her,5982,-0.11,-0.32
,5951,-0.04,
,5995,1.58,1.91
Eta Nor,5962,0.92,0.64
,5983,0.56,
,5969,1.22,1.31
,5967,-0.14,-0.58
,6034,,
Iota1 Nor,5961,0.24,0.09
,5970,0.47,
43 Ser,5976,0.96,0.75
,5973,1.38,
,5974,0.34,
Xi Sco,5978,0.47,0.01
Xi Sco,5977,,
,5975,0.4,
8 Beta1 Sco,5984,-0.07,-0.87
8 Beta2 Sco,5985,-0.02,-0.7
,5992,0.08,0.11
,5989,0.48,0.07
,5955,1.17,1.26
,5990,1.03,0.8
,5988,-0.08,-0.55
,6025,-0.02,-0.08
Delta Nor,5980,0.23,0.15
Theta Lup,5987,-0.17,-0.7
9 Omega1 Sco,5993,-0.04,-0.81
,5996,0.66,0.24
,5991,0.29,0.02
,6005,1.37,1.51
,5979,0.58,
10 Omega2 Sco,5997,0.84,0.5
11 Sco,6002,0.01,
45 Ser,6004,0.2,0.17
,5998,-0.06,-0.53
7 Kappa Her,6008,0.95,0.61
7 Kappa Her,6009,1.14,1.11
,6001,1.65,2.01
47 Ser,6010,1.61,1.69
,5999,0.36,0.25
,6000,-0.07,-0.44
,6003,0.02,-0.31
11 Phi Her,6023,-0.07,-0.28
8 Her,6013,0,-0.07
16 Tau CrB,6018,1.01,0.86
,6011,1.47,1.82
,6036,,
,6014,1,0.81
Iota2 Nor,5994,-0.04,
,6038,,
,6006,0.79,0.46
,6016,1.45,1.46
,6007,-0.1,
,6012,0.44,
19 UMi,6079,-0.11,-0.36
,6017,1.12,1.02
,6015,0.27,
,6035,0.02,0
,6032,0.24,0.1
10 Her,6039,1.56,1.56
,6043,1.2,
,6050,1.45,1.74
,6046,1.34,
14 Nu Sco,6026,0.13,-0.37
14 Nu Sco,6027,0.04,-0.65
15 Psi Sco,6031,0.09,0.11
16 Sco,6033,0.12,0.13
12 Sco,6029,0.01,-0.2
13 Sco,6028,-0.16,-0.74
,6069,0.99,0.72
20 UMi,6082,,
,6052,0.39,-0.03
,6041,0.13,0.05
9 Her,6047,1.47,1.78
,6022,1.96,2.21
Zeta Nor,6019,0.34,
Kappa Nor,6024,1.04,0.78
,6042,0.04,-0.44
17 Chi Sco,6048,1.42,1.54
,6057,1.15,1.17
1 Delta Oph,6056,1.58,1.96
,6044,1.02,
,6051,-0.01,
,6088,0.08,0.15
,6053,1.09,
17 Sigma CrB,6063,0.51,0
17 Sigma CrB,6064,,
,6054,0.04,-0.36
Theta Nor,6045,-0.13,-0.4
,6049,1.11,
Delta TrA,6030,1.11,0.86
16 Her,6065,1.12,1.01
18 Sco,6060,0.65,0.17
,6068,1.31,
,6040,0.14,
,6061,0.06,0
,6055,1.73,1.86
18 Upsilon CrB,6074,0.07,0.1
,6067,0.31,0.02
,6066,0.02,-0.15
Gamma1 Nor,6058,0.8,0.51
,6037,0.15,0.09
,6086,1.63,1.67
,6059,0.27,0.14
21 Eta UMi,6116,0.37,0.08
,6101,,
,6070,0.02,0
2 Epsilon Oph,6075,0.96,0.75
,6062,1,0.66
,6078,1.52,1.95
,6076,1.08,0.78
,6090,1.37,
Lambda Nor,6071,0.1,
,6077,0.47,-0.01
22 Tau Her,6092,-0.15,-0.56
Gamma2 Nor,6072,1.08,1.16
,6091,0.4,-0.08
,6087,0.94,0.64
Delta1 Aps,6020,1.69,1.69
