bf,HR,BV,UB
31 Ari,763,0.49,-0.08
,757,1.05,0.79
,756,0.48,
30 Ari,764,0.5,0.02
Lambda2 For,772,0.66,0.22
30 Ari,765,0.41,-0.02
,758,1.55,0.84
,761,0.48,0.01
,760,-0.12,-0.48
Eta Hor,778,0.27,
,747,1.56,1.85
81 Cet,771,1.02,0.85
,770,0.44,0
,743,0.88,0.58
,768,0.47,0.08
Iota2 For,777,0.48,-0.01
,780,0.52,
,769,-0.03,-0.03
,775,1,0.76
32 Nu Ari,773,0.16,0.13
82 Delta Cet,779,-0.22,-0.87
,798,-0.08,-0.24
83 Epsilon Cet,781,0.45,-0.01
Epsilon Hyi,806,-0.06,-0.14
,789,0.06,0.06
,786,1.04,
,784,0.52,0
,783,0.4,-0.03
Zeta Hor,802,0.4,-0.01
Iota Eri,794,1.02,0.74
33 Ari,782,0.09,0.13
84 Cet,790,0.52,-0.02
,796,0.43,-0.02
,795,1.17,1.13
,805,0.92,
,807,0.88,
12 Per,788,0.59,0.14
34 Mu Ari,793,-0.02,-0.03
,797,0.06,0.06
Iota Hor,810,0.56,0.1
,787,1.12,
,792,,
11 Per,785,-0.13,-0.48
86 Gamma Cet,804,0.09,0.07
,814,-0.02,
,823,0.53,0.01
35 Ari,801,-0.13,-0.62
,803,0.08,0.11
14 Per,800,0.9,0.65
89 Picet,811,-0.14,-0.45
,821,0.09,
13 Theta Per,799,0.49,0
36 Ari,808,1.07,1.07
,817,0.04,
37 Omicron Ari,809,-0.01,-0.19
,791,0.1,0.17
87 Mu Cet,813,0.31,0.08
38 Ari,812,0.24,0.1
1 Tau1 Eri,818,0.48,0
,822,1.36,
,816,0.31,0.08
Gamma Hor,833,0.93,0.63
Zeta Hyi,837,0.06,0.09
,826,0.38,
,819,0.93,0.62
,820,,
,827,0.39,
Eta1 For,835,0.96,
,774,1.3,
39 Ari,824,1.11,1.05
,832,1.56,1.37
40 Ari,828,1.2,1.13
,830,-0.07,-0.08
,815,0.18,0.1
Nu Hor,852,0.1,0.06
Beta For,841,0.99,0.69
42 Pi Ari,836,-0.06,-0.47
,831,0.43,0.14
,825,0.89,0.5
Gamma1 For,844,1.07,
Gamma2 For,845,0.02,
41 Ari,838,-0.1,-0.37
Eta2 For,848,0.9,0.62
Nu Hyi,872,1.33,1.56
16 Per,840,0.34,0.08
Eta3 For,851,1.25,1.31
15 Eta Per,834,1.68,1.89
,853,0.05,
2 Tau2 Eri,850,0.91,0.63
43 Sigma Ari,847,-0.09,-0.43
17 Per,843,1.56,1.92
,842,0.89,0.58
,839,0.1,0.08
,858,0.48,
,829,0.64,0.48
,866,1.25,
,857,0.87,0.56
,859,0.19,0.12
,846,0.07,-0.27
,856,,
,849,1.18,0.94
Psi For,863,0.44,0.07
,862,1.04,
20 Per,855,0.41,0.04
,868,2.11,0.43
,871,1.58,1.88
18 Tau Per,854,0.74,0.46
,880,1.39,1.59
45 Rho2 Ari,867,1.47,1.12
,860,0.45,-0.1
,870,0.48,0.06
,861,2.03,2.41
3 Eta Eri,874,1.11,1
46 Rho3 Ari,869,0.43,-0.02
,865,1.34,
,875,0.08,0.05
,864,1.57,1.9
,877,1.69,1.81
,884,0.47,
21 Per,873,-0.01,-0.23
4 Eri,883,0.23,
,893,-0.03,
,876,1.41,
47 Ari,878,0.41,0.01
6 Eri,889,1.33,
Theta1 Eri,897,0.14,0.14
Theta2 Eri,898,0.08,0.12
,892,0,0.04
22 Pi Per,879,0.06,0.12
,895,0.22,0.13
Beta Hor,909,0.13,0.15
24 Per,882,1.23,1.29
,900,1.04,
48 Epsilon Ari,887,0.04,0.08
48 Epsilon Ari,888,0.04,0.08
Zeta For,901,0.4,
,903,0,
,886,1.44,
5 Eri,899,-0.08,-0.18
91 Lambda Cet,896,-0.12,-0.45
,885,0.89,0.61
,894,-0.06,-0.38
,902,1.59,1.95
7 Eri,904,1.77,2.07
,890,-0.05,-0.45
,891,0,-0.15
8 Rho1 Eri,907,1.05,0.87
Epsilon For,914,0.79,
,908,1.05,0.82
49 Ari,905,0.14,0.15
,912,1.11,
,913,0.6,0.15
Theta Hyi,939,-0.14,-0.51
92 Alpha Cet,911,1.64,1.94
93 Cet,910,-0.1,-0.41
11 Tau3 Eri,919,0.16,0.08
9 Rho2 Eri,917,0.94,0.73
,929,1.3,
,916,,
Mu Hor,934,0.34,-0.03
10 Rho3 Eri,925,0.2,0.09
,926,1.04,0.86
,924,,
23 Gamma Per,915,0.7,0.45
25 Rho Per,921,1.65,1.79
,923,1.01,
52 Ari,927,-0.02,-0.38
52 Ari,928,,
,918,1.02,0.86
,920,1.02,
,881,1.57,
,931,1.08,
,935,1.6,1.78
,922,-0.03,-0.1
53 Ari,938,-0.12,-0.79
,981,0.3,0.09
,933,0.12,0.11
,959,1.02,0.83
,943,0.16,
,930,-0.01,-0.43
26 Beta Per,936,-0.05,-0.37
54 Ari,940,1.58,1.97
,942,1.06,0.88
Iota Per,937,0.59,0.12
27 Kappa Per,941,0.98,0.83
55 Ari,944,0.12,-0.15
,945,0.01,-0.01
,946,1.28,1.28
,960,1.12,1.03
,953,0.93,
,948,-0.06,-0.27
,957,1.2,1.27
28 Omega Per,947,1.11,1.03
,955,1.66,1.94
,952,1.02,0.84
57 Delta Ari,951,1.03,0.87
,906,0.15,0.09
,932,0.02,0.05
Alpha For,963,0.52,0.02
,950,-0.09,-0.56
56 Ari,954,-0.12,-0.42
,968,0.44,
,958,1.08,0.66
,949,1.43,1.64
,977,2.28,2.83
94 Cet,962,0.57,0.12
,970,-0.08,
,956,0.97,0.81
,974,1.05,
58 Zeta Ari,972,-0.01,-0.01
,966,1.07,
,980,0.04,
,971,0.01,0.09
,975,0.37,-0.02
,964,0.73,0.09
13 Zeta Eri,984,0.23,0.09
Iota Hyi,1025,0.44,0
,983,-0.02,-0.24
,976,0.28,0.12
,973,1.67,2
,990,-0.07,
,969,1.15,0.83
,978,0.99,0.68
14 Eri,988,0.4,-0.04
,979,,
,998,1.24,
,967,0.09,0.07
,986,0.07,0.11
Zeta1 Ret,1006,0.64,0.06
30 Per,982,-0.06,-0.35
,1014,0.13,0.1
,993,0.33,
Zeta2 Ret,1010,0.6,0
15 Eri,994,0.9,
95 Cet,992,1.04,0.81
29 Per,987,-0.06,-0.56
,997,0.37,
,991,1.49,1.57
31 Per,989,-0.06,-0.54
96 Kappa1 Cet,996,0.68,0.19
16 Tau4 Eri,1003,1.62,1.81
,1004,1.66,2
,1008,0.71,0.22
59 Ari,995,0.86,0.51
,985,-0.15,-0.77
,961,0.19,0.11
,999,1.55,1.79
60 Ari,1000,1.24,1.27
,1013,0.54,
97 Kappa2 Cet,1007,0.97,0.76
61 Tau1 Ari,1005,-0.07,-0.52
